gis_cleared_amount,gis_requests_qty,gis_requests_amount,gis_cleared_qty,gis_item_desc,gis_item_code,total_cleared_item,total_requests_item,value,unit_price,quantity,uom,branch,item_desc,item_id,element_desc,element_id,item_seq,total_cleared,total_requests,date_field,status,item_type,project_name,project_id,source_file,gis_qty,gis_item_name,gis_value,gis_unit_price,request_qty,request_amount,cleared_qty,cleared_amount,total_requests_num,total_cleared_num,total_requests_item_num,total_cleared_item_num,quantity_num,unit_price_num,value_num,gis_qty_num,gis_unit_price_num,gis_value_num,request_qty_num,request_amount_num,cleared_qty_num,cleared_amount_num,_alloc,_used
,,,,,1101117,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,3.55,رمل,"27,725.5",,,,,,378923.38,,,,,,,3.55,,27725.5,,,,,,
,,,,,1101139,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,128,بلك,"66,560",,,,,,378923.38,,,,,,,128.0,,66560.0,,,,,,
,,,,,1101145,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,2,سلك تربيط,"2,364",,,,,,378923.38,,,,,,,2.0,,2364.0,,,,,,
,,,,,1109807,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,3000,ماء للعمل,"15,000",,,,,,378923.38,,,,,,,3000.0,,15000.0,,,,,,
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,1,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"60,000",,,,,,378923.38,,,,,,,1.0,,60000.0,,,,,,
,,,,,1101103,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143940,,"283,000",25/06/2023,مقفل نهائي,تراسل محطات  WFBB,توصيل كابل الياف الى موقع محطة ال WFBB موقع دير الولي _الحديدة,208060013493,هندهولات4_1779041552498.HTM,2,حديد ابو 8ملم,"463,692.6",231846.3,2,"5,000",,,283000.0,,,,,,,2.0,231846.3,463692.6,2.0,5000.0,,,2.0,
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143940,,"283,000",25/06/2023,مقفل نهائي,تراسل محطات  WFBB,توصيل كابل الياف الى موقع محطة ال WFBB موقع دير الولي _الحديدة,208060013493,هندهولات4_1779041552498.HTM,6,حديد ابو 14ملم,"39,600",,,,,,283000.0,,,,,,,6.0,,39600.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143940,,"283,000",25/06/2023,مقفل نهائي,تراسل محطات  WFBB,توصيل كابل الياف الى موقع محطة ال WFBB موقع دير الولي _الحديدة,208060013493,هندهولات4_1779041552498.HTM,14,اسمنت,"49,000",,,,,,283000.0,,,,,,,14.0,,49000.0,,,,,,
,,,,,1101116,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143940,,"283,000",25/06/2023,مقفل نهائي,تراسل محطات  WFBB,توصيل كابل الياف الى موقع محطة ال WFBB موقع دير الولي _الحديدة,208060013493,هندهولات4_1779041552498.HTM,2,كري,"20,000",,,,,,283000.0,,,,,,,2.0,,20000.0,,,,,,
,,,,,1101117,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143940,,"283,000",25/06/2023,مقفل نهائي,تراسل محطات  WFBB,توصيل كابل الياف الى موقع محطة ال WFBB موقع دير الولي _الحديدة,208060013493,هندهولات4_1779041552498.HTM,2,رمل,"6,000",,,,,,283000.0,,,,,,,2.0,,6000.0,,,,,,
